,DAY_OF_WEEK,DISTANCE_GROUP,AIRLINE_ID,ORIGIN_CITY_MARKET_ID,DEST_CITY_MARKET_ID,DAY_OF_MONTH,MONTH,ORIG_STATE,DEST_STATE,DEP_TIME,OUT_TAXI,IN_TAXI,ELAPSED_TIME,NEW_DIST_GROUP
160,4,2,20409,31703,34492,26.0,1.0,32,25.0,900.0,10.0,5.0,105.0,450.0
161,2,3,19805,30713,30466,3.0,1.0,11,3.0,900.0,30.0,5.0,135.0,750.0
162,7,2,19393,30194,33198,29.0,1.0,42,22.0,900.0,10.0,5.0,75.0,450.0
163,2,1,19790,30397,31057,31.0,1.0,8,25.0,2100.0,30.0,5.0,75.0,250.0
164,7,4,19805,31453,32467,8.0,1.0,42,7.0,900.0,10.0,15.0,135.0,950.0
165,1,3,20409,31703,30977,9.0,1.0,32,12.0,900.0,10.0,15.0,165.0,750.0
166,1,5,19393,30397,30325,23.0,1.0,8,5.0,1500.0,10.0,5.0,195.0,1150.0
167,5,10,19930,30559,30852,27.0,1.0,47,18.0,900.0,10.0,5.0,285.0,2350.0
168,6,9,19790,32457,30397,21.0,1.0,4,8.0,900.0,30.0,25.0,285.0,2150.0
169,3,1,19805,33214,30194,25.0,1.0,42,42.0,900.0,10.0,15.0,75.0,250.0
170,4,2,19805,34100,30198,5.0,1.0,36,36.0,2100.0,50.0,5.0,105.0,250.0
171,1,4,20409,31454,30852,2.0,1.0,7,18.0,1500.0,30.0,5.0,135.0,750.0
172,6,2,19790,30397,31123,21.0,1.0,8,22.0,1500.0,10.0,5.0,105.0,450.0
173,7,4,19805,30852,32467,15.0,1.0,44,7.0,1500.0,10.0,5.0,135.0,850.0
174,6,7,19805,30977,32575,7.0,1.0,12,4.0,2100.0,10.0,5.0,285.0,1750.0
175,2,5,19805,32467,30423,31.0,1.0,7,42.0,2100.0,10.0,5.0,225.0,1150.0
176,2,2,19393,33316,30325,10.0,1.0,27,5.0,900.0,10.0,5.0,105.0,450.0
177,5,2,19393,33192,33570,13.0,1.0,4,4.0,1500.0,10.0,5.0,75.0,450.0
178,6,3,20304,30559,32457,28.0,1.0,47,4.0,2100.0,30.0,5.0,105.0,650.0
179,1,2,19393,30397,33195,16.0,1.0,8,7.0,900.0,30.0,5.0,75.0,450.0
180,2,2,19393,30977,30693,31.0,1.0,12,41.0,1500.0,10.0,5.0,75.0,350.0
181,2,8,19393,30977,32457,31.0,1.0,12,4.0,2100.0,10.0,5.0,285.0,1850.0
182,1,2,19393,32575,33192,2.0,1.0,4,4.0,1500.0,10.0,5.0,75.0,350.0
183,7,4,19790,31703,30397,1.0,1.0,32,8.0,1500.0,30.0,5.0,165.0,750.0
184,2,3,20416,30977,30397,10.0,1.0,12,8.0,1500.0,10.0,35.0,135.0,650.0
185,2,5,19805,32467,31703,10.0,1.0,7,32.0,900.0,10.0,5.0,165.0,1050.0
186,2,3,19393,33195,30693,31.0,1.0,7,41.0,1500.0,10.0,5.0,105.0,650.0
187,6,7,19930,30559,31517,14.0,1.0,47,0.0,1500.0,10.0,5.0,225.0,1550.0
188,5,10,20416,32575,32467,6.0,1.0,4,7.0,2100.0,10.0,5.0,255.0,2350.0
189,1,7,20304,30423,32457,30.0,1.0,42,4.0,1500.0,10.0,5.0,255.0,1550.0
190,1,4,20416,30559,32575,30.0,1.0,47,4.0,900.0,10.0,5.0,165.0,950.0
191,7,1,19790,30198,31295,29.0,1.0,36,20.0,900.0,30.0,5.0,75.0,250.0
192,7,1,20366,30977,31721,15.0,1.0,12,20.0,1500.0,30.0,5.0,75.0,250.0
193,5,4,19930,32211,34057,27.0,1.0,31,35.0,900.0,30.0,5.0,135.0,750.0
194,4,3,19790,34614,33570,26.0,1.0,43,4.0,1500.0,10.0,5.0,105.0,650.0
195,3,2,19393,33198,30977,18.0,1.0,22,12.0,1500.0,10.0,5.0,75.0,450.0
196,3,4,19977,30325,30977,4.0,1.0,5,12.0,1500.0,50.0,15.0,165.0,850.0
197,7,7,19805,30194,34057,1.0,1.0,42,35.0,2100.0,10.0,5.0,255.0,1650.0
198,3,7,20304,32457,31650,4.0,1.0,4,21.0,900.0,10.0,5.0,195.0,1550.0
199,3,2,20366,31703,34321,11.0,1.0,29,19.0,1500.0,10.0,5.0,75.0,250.0
200,2,1,20304,31977,30977,31.0,1.0,48,12.0,900.0,50.0,62.5,135.0,150.0
201,5,4,19393,30977,33495,6.0,1.0,12,16.0,900.0,10.0,5.0,135.0,850.0
202,5,4,19393,34057,32211,20.0,1.0,35,31.0,900.0,10.0,5.0,105.0,750.0
203,1,10,20409,31703,32575,16.0,1.0,32,4.0,900.0,10.0,5.0,345.0,2450.0
204,1,7,19393,31123,32575,23.0,1.0,22,4.0,900.0,30.0,5.0,315.0,1550.0
205,2,3,20366,33244,31295,17.0,1.0,41,20.0,1500.0,10.0,5.0,105.0,650.0
206,3,7,19977,30325,31703,11.0,1.0,5,32.0,1500.0,10.0,5.0,195.0,1650.0
207,3,1,19805,31057,30397,25.0,1.0,25,8.0,1500.0,10.0,5.0,75.0,250.0
208,7,3,19393,30325,31650,15.0,1.0,5,21.0,1500.0,10.0,5.0,105.0,650.0
209,4,2,19790,34614,30620,5.0,1.0,43,24.0,2100.0,10.0,5.0,75.0,350.0
210,7,5,20304,30372,30977,1.0,1.0,5,12.0,1500.0,30.0,5.0,165.0,1050.0
211,7,5,19805,33570,30194,22.0,1.0,4,42.0,1500.0,30.0,5.0,165.0,1150.0
212,1,9,19790,32575,31454,9.0,1.0,4,7.0,1500.0,10.0,5.0,255.0,2250.0
213,1,1,19690,32134,32982,16.0,1.0,9,9.0,900.0,10.0,5.0,45.0,150.0
214,1,2,20304,31775,30325,2.0,1.0,40,5.0,1500.0,10.0,5.0,105.0,450.0
215,4,11,19805,31703,32457,5.0,1.0,32,4.0,1500.0,30.0,5.0,520.0,2550.0
216,6,6,20304,32457,33316,21.0,1.0,4,27.0,1500.0,10.0,5.0,165.0,1450.0
217,2,7,19805,34614,31057,31.0,1.0,43,25.0,300.0,10.0,5.0,225.0,1750.0
218,5,6,19393,30466,30977,20.0,1.0,3,12.0,1500.0,10.0,5.0,165.0,1450.0
219,7,3,19790,30397,32467,29.0,1.0,8,7.0,1500.0,10.0,5.0,105.0,550.0
220,7,7,19393,30977,33570,8.0,1.0,12,4.0,900.0,10.0,5.0,255.0,1750.0
221,7,2,19393,32457,32575,15.0,1.0,4,4.0,900.0,30.0,5.0,105.0,350.0
222,2,5,20409,32467,34819,31.0,1.0,7,37.0,2100.0,10.0,5.0,135.0,1050.0
223,1,3,19393,30466,34614,23.0,1.0,3,43.0,1500.0,10.0,5.0,105.0,550.0
224,6,5,19393,30466,30559,21.0,1.0,3,47.0,2100.0,10.0,5.0,195.0,1150.0
225,2,8,19393,30559,30423,17.0,1.0,47,42.0,900.0,10.0,5.0,255.0,1750.0
226,6,7,19790,34945,31703,14.0,1.0,45,32.0,1500.0,10.0,5.0,255.0,1650.0
